impl,input_size,input_bytes,avg_latency,throughput
nccl,256,1024,4.555,224.809
nccl,512,2048,5.190,394.577
nccl,1024,4096,4.895,836.818
nccl,2048,8192,4.865,1683.888
nccl,4096,16384,5.020,3263.808
nccl,8192,32768,5.630,5819.985
nccl,16384,65536,5.435,12058.693
nccl,32768,131072,5.090,25749.687
nccl,65536,262144,5.295,49505.251
nccl,131072,524288,5.319,98566.708
nccl,262144,1048576,5.440,192769.954
nccl,524288,2097152,4.746,441903.694
nccl,1048576,4194304,5.109,820913.954
nccl,2097152,8388608,5.410,1550655.447
nccl,4194304,16777216,5.084,3299823.877
nccl,8388608,33554432,4.729,7095411.563
nccl,16777216,67108864,5.054,13277121.543
nccl,33554432,134217728,5.610,23924774.901
nccl,67108864,268435456,5.420,49522758.163
nccl,134217728,536870912,4.799,111862881.952
nccl,268435456,1073741824,4.855,221144101.516
nccl,536870912,2147483648,4.685,458381641.463
nccl,1073741824,4294967296,4.755,903203735.747
naive,256,1024,87.609,11.688
naive,512,2048,87.825,23.319
naive,1024,4096,68.160,60.094
naive,2048,8192,93.560,87.559
naive,4096,16384,98.405,166.496
naive,8192,32768,96.380,339.989
naive,16384,65536,95.661,685.088
naive,32768,131072,98.660,1328.522
naive,65536,262144,105.759,2478.694
naive,131072,524288,117.000,4481.081
naive,262144,1048576,746.861,1403.978
naive,524288,2097152,616.959,3399.174
naive,1048576,4194304,589.300,7117.429
naive,2097152,8388608,1012.045,8288.769
naive,4194304,16777216,1095.140,15319.700
naive,8388608,33554432,1432.024,23431.469
naive,16777216,67108864,2060.410,32570.639
naive,33554432,134217728,3493.990,38413.888
naive,67108864,268435456,5368.915,49998.086
naive,134217728,536870912,9905.651,54198.450
naive,268435456,1073741824,19967.564,53774.301
naive,536870912,2147483648,37527.710,57223.946
naive,1073741824,4294967296,72930.495,58891.241
pipelined,256,1024,218.534,4.686
pipelined,512,2048,198.785,10.303
pipelined,1024,4096,179.740,22.788
pipelined,2048,8192,178.635,45.859
pipelined,4096,16384,179.920,91.063
pipelined,8192,32768,185.671,176.484
pipelined,16384,65536,161.641,405.443
pipelined,32768,131072,201.740,649.707
pipelined,65536,262144,172.175,1522.542
pipelined,131072,524288,226.090,2318.935
pipelined,262144,1048576,759.881,1379.922
pipelined,524288,2097152,931.245,2251.987
pipelined,1048576,4194304,893.840,4692.457
pipelined,2097152,8388608,1113.430,7534.022
pipelined,4194304,16777216,2745.651,6110.469
pipelined,8388608,33554432,2107.925,15918.225
pipelined,16777216,67108864,2932.791,22882.256
pipelined,33554432,134217728,4390.994,30566.591
pipelined,67108864,268435456,7096.580,37826.030
pipelined,134217728,536870912,12618.995,42544.666
pipelined,268435456,1073741824,19836.559,54129.439
pipelined,536870912,2147483648,37775.825,56848.094
pipelined,1073741824,4294967296,72132.989,59542.345
